date,serial_number,model,capacity_bytes,failure,smart_5_normalized,smart_187_normalized,smart_188_normalized,smart_197_normalized,smart_198_normalized
15/1/2019,ZA18106W,ST8000NM0055,8.00E+12,1,100,100,100,100,100
15/1/2019,ZCH0CCQ7,ST12000NM0007,1.20E+13,1,98,100,100,100,100
15/1/2019,S300Z60X,ST4000DM000,4.00E+12,1,100,94,100,100,100
15/1/2019,Z3059CCB,ST4000DM000,4.00E+12,1,100,95,100,100,100
16/1/2019,ZA21CC6L,ST10000NM0086,1.00E+13,1,100,97,100,100,100
16/1/2019,ZA1814JM,ST8000NM0055,8.00E+12,1,100,100,100,100,100
16/1/2019,Z302F0C0,ST4000DM000,4.00E+12,1,100,100,100,100,100
16/1/2019,ZJV2E9J0,ST12000NM0007,1.20E+13,1,100,100,100,100,100
17/1/2019,Z3025LXD,ST4000DM000,4.00E+12,1,98,96,100,61,61
17/1/2019,ZA180QC8,ST8000NM0055,8.00E+12,1,100,95,100,100,100
17/1/2019,ZA12XGTD,ST8000NM0055,8.00E+12,1,100,98,100,100,100
17/1/2019,ZA15YBJM,ST8000NM0055,8.00E+12,1,100,100,100,100,100
17/1/2019,ZCH0CJPF,ST12000NM0007,1.20E+13,1,94,100,100,100,100
17/1/2019,Z304JWPG,ST4000DM000,4.00E+12,1,100,82,100,100,100
18/1/2019,ZA11J9ZY,ST8000DM002,8.00E+12,1,100,100,100,100,100
18/1/2019,ZA18183R,ST8000NM0055,8.00E+12,1,100,100,100,100,100
19/1/2019,PL1331LAHD5RRH,HGST HMS5C4040BLE640,4.00E+12,1,100,,,100,100
19/1/2019,Z300PQPQ,ST4000DM000,4.00E+12,1,100,100,100,100,100
20/1/2019,ZA171RQB,ST8000NM0055,8.00E+12,1,100,100,100,100,100
21/1/2019,Z302F2WA,ST4000DM000,4.00E+12,1,98,93,100,100,100
21/1/2019,S301NKQV,ST4000DM000,4.00E+12,1,100,70,100,100,100
21/1/2019,ZA12X0AP,ST8000NM0055,8.00E+12,1,100,100,100,100,100
21/1/2019,S2ZYJ9CF504029,ST500LM012 HN,5.00E+11,1,252,,,252,252
21/1/2019,ZA126676,ST8000DM002,8.00E+12,1,100,80,100,100,100
21/1/2019,ZCH0840Z,ST12000NM0007,1.20E+13,1,99,94,100,100,100
21/1/2019,Z302T6A8,ST4000DM000,4.00E+12,1,100,99,100,98,98
21/1/2019,Z304HSVA,ST4000DM000,4.00E+12,1,100,98,100,100,100
21/1/2019,Z3025M1G,ST4000DM000,4.00E+12,1,100,94,100,98,98
21/1/2019,ZA16CR18,ST8000NM0055,8.00E+12,1,100,100,100,100,100
22/1/2019,ZDEC8Z1Y,ST500LM030,5.00E+11,1,100,100,100,100,100
22/1/2019,ZA173E77,ST8000NM0055,8.00E+12,1,100,99,100,100,100
22/1/2019,ZJV03N38,ST12000NM0007,1.20E+13,1,100,96,100,100,100
22/1/2019,ZA1816BZ,ST8000NM0055,8.00E+12,1,100,100,100,100,100
22/1/2019,ZCH07DZ7,ST12000NM0007,1.20E+13,1,100,99,100,100,100
22/1/2019,188DT94ZT,TOSHIBA MQ01ABF050M,5.00E+11,1,100,,,100,100
23/1/2019,ZJV03JH3,ST12000NM0007,1.20E+13,1,100,1,100,100,100
23/1/2019,ZJV0M2TR,ST12000NM0007,1.20E+13,1,100,100,100,100,100
23/1/2019,ZA1818RN,ST8000NM0055,8.00E+12,1,100,100,100,100,100
23/1/2019,S300TS9Z,ST4000DM000,4.00E+12,1,100,96,100,100,100
23/1/2019,ZA21DNJD,ST10000NM0086,1.00E+13,1,99,97,100,100,100
23/1/2019,S2ZYJ9DFA03940,ST500LM012 HN,5.00E+11,1,252,,,252,252
23/1/2019,Z302SYPR,ST4000DM000,4.00E+12,1,100,78,100,100,100
23/1/2019,ZCH07RN1,ST12000NM0007,1.20E+13,1,98,98,100,100,100
23/1/2019,ZCH0E54J,ST12000NM0007,1.20E+13,1,100,62,100,100,100
23/1/2019,S2ZYJ9FG404788,ST500LM012 HN,5.00E+11,1,252,,,252,252
23/1/2019,ZCH07ZW4,ST12000NM0007,1.20E+13,1,100,98,100,100,100
23/1/2019,ZCH0BPTZ,ST12000NM0007,1.20E+13,1,100,99,100,100,100
24/1/2019,ZJV02LNB,ST12000NM0007,1.20E+13,1,100,100,100,100,100
24/1/2019,Z3041TE5,ST4000DM000,4.00E+12,1,100,91,100,100,100
24/1/2019,PL2331LAGPKGSJ,HGST HMS5C4040ALE640,4.00E+12,1,100,,,100,100
24/1/2019,ZCH0A24Q,ST12000NM0007,1.20E+13,1,61,98,100,100,100
24/1/2019,ZA1810B6,ST8000NM0055,8.00E+12,1,100,100,100,100,100
